start_time_s,start_distance_km,end_temp_c,end_soc_pct,heat_energy_kwh,charge_time_s,score_50
149.000000,38.758333333,21.142103133,25.503653250,3.411666667,763.733413802,26.946012282
150.000000,38.750000000,21.132933266,25.508163644,3.410000000,763.710914374,27.130380469
151.000000,38.741666667,21.123761899,25.512674007,3.408333333,763.688405020,27.314797553
152.000000,38.733333333,21.114589031,25.517184314,3.406666667,763.665886135,27.499261585
153.000000,38.725000000,21.105414662,25.521694579,3.405000000,763.643357486,27.683773725
154.000000,38.716666667,21.096238789,25.526204815,3.403333333,763.620818872,27.868334950
155.000000,38.708333333,21.087061415,25.530714996,3.401666667,763.598270686,28.052943330
156.000000,38.700000000,21.077882539,25.535225134,3.400000000,763.575712754,28.237599726
157.000000,38.691666667,21.068702162,25.539735235,3.398333333,763.553144976,28.422304623
158.000000,38.683333333,21.059520281,25.544245292,3.396666667,763.530567445,28.607057564
159.000000,38.675000000,21.050336897,25.548755309,3.395000000,763.507980094,28.791858886
160.000000,38.666666667,21.041152011,25.553265273,3.393333333,763.485383138,28.976707523
161.000000,38.658333333,21.031965621,25.557775202,3.391666667,763.462776300,29.161604840
162.000000,38.650000000,21.022777726,25.562285099,3.390000000,763.440159505,29.346551210
163.000000,38.641666667,21.013588332,25.566794928,3.388333333,763.417533305,29.531543908
164.000000,38.633333333,21.004397431,25.571304729,3.386666667,763.394897105,29.716585873
165.000000,38.625000000,20.995205025,25.575814492,3.385000000,763.372251051,29.901676383
166.000000,38.616666667,20.986011116,25.580324204,3.383333333,763.349595324,30.086814543
167.000000,38.608333333,20.976815700,25.584833879,3.381666667,763.326929725,30.272001332
168.000000,38.600000000,20.967618779,25.589343507,3.380000000,763.304254389,30.457236093
169.000000,38.591666667,20.958420355,25.593853099,3.378333333,763.281569132,30.642519727
170.000000,38.583333333,20.949220426,25.598362643,3.376666667,763.258874162,30.827851208
171.000000,38.575000000,20.940018991,25.602872136,3.375000000,763.236169499,31.013230443
172.000000,38.566666667,20.930816049,25.607381602,3.373333333,763.213454806,31.198659084
173.000000,38.558333333,20.921611600,25.611891020,3.371666667,763.190730351,31.384135820
174.000000,38.550000000,20.912405646,25.616400388,3.370000000,763.167996217,31.569660237
175.000000,38.541666667,20.903198184,25.620909726,3.368333333,763.145252048,31.755234089
176.000000,38.533333333,20.893989217,25.625419016,3.366666667,763.122498135,31.940855939
177.000000,38.525000000,20.884778742,25.629928261,3.365000000,763.099734449,32.126525939
178.000000,38.516666667,20.875566758,25.634437468,3.363333333,763.076960841,32.312244814
179.000000,38.508333333,20.866353268,25.638946626,3.361666667,763.054177491,32.498011679
180.000000,38.500000000,20.857138269,25.643455752,3.360000000,763.031384149,32.683827775
181.000000,38.491666667,20.847921764,25.647964823,3.358333333,763.008581152,32.869691427
182.000000,38.483333333,20.838703750,25.652473854,3.356666667,762.985768253,33.055603861
183.000000,38.475000000,20.829484226,25.656982857,3.355000000,762.962945287,33.241565890
184.000000,38.466666667,20.820263195,25.661491800,3.353333333,762.940112755,33.427575042
185.000000,38.458333333,20.811040653,25.666000706,3.351666667,762.917270272,33.613633220
186.000000,38.450000000,20.801816600,25.670509577,3.350000000,762.894417802,33.799740590
187.000000,38.441666667,20.792591040,25.675018400,3.348333333,762.871555551,33.985896150
188.000000,38.433333333,20.783363971,25.679527178,3.346666667,762.848683477,34.172100100
189.000000,38.425000000,20.774135392,25.684035912,3.345000000,762.825801541,34.358352631
190.000000,38.416666667,20.764905302,25.688544610,3.343333333,762.802909651,34.544654198
191.000000,38.408333333,20.755673700,25.693053269,3.341666667,762.780007815,34.731004763
192.000000,38.400000000,20.746440588,25.697561870,3.340000000,762.757096348,34.917402771
193.000000,38.391666667,20.737205965,25.702070441,3.338333333,762.734174794,35.103850476
194.000000,38.383333333,20.727969831,25.706578976,3.336666667,762.711243250,35.290347389
195.000000,38.375000000,20.718732186,25.711087450,3.335000000,762.688302108,35.476891589
196.000000,38.366666667,20.709493027,25.715595895,3.333333333,762.665350855,35.663485594
197.000000,38.358333333,20.700252357,25.720104296,3.331666667,762.642389736,35.850128205
198.000000,38.350000000,20.691010175,25.724612652,3.330000000,762.619418749,36.036819427
199.000000,38.341666667,20.681766481,25.729120968,3.328333333,762.596437809,36.223559684
200.000000,38.333333333,20.672521275,25.733629234,3.326666667,762.573447090,36.410348112
201.000000,38.325000000,20.663274555,25.738137471,3.325000000,762.550446240,36.597186448
202.000000,38.316666667,20.654026322,25.742645656,3.323333333,762.527435631,36.784072861
203.000000,38.308333333,20.644776575,25.747153797,3.321666667,762.504415140,36.971007956
204.000000,38.300000000,20.635525313,25.751661908,3.320000000,762.481384507,37.157993009
205.000000,38.291666667,20.626272538,25.756169969,3.318333333,762.458344082,37.345026305
206.000000,38.283333333,20.617018250,25.760677984,3.316666667,762.435293792,37.532108198
207.000000,38.275000000,20.607762447,25.765185966,3.315000000,762.412233405,37.719239832
208.000000,38.266666667,20.598505130,25.769693898,3.313333333,762.389163195,37.906419856
209.000000,38.258333333,20.589246297,25.774201790,3.311666667,762.366083028,38.093648931
210.000000,38.250000000,20.579985948,25.778709638,3.310000000,762.342992933,38.280926916
