case_id,t_best_dt1,T_dt1,soc_dt1,score_dt1,t_best_dt0.5,T_dt0.5,soc_dt0.5,score_dt0.5,t_best_dt0.25,T_dt0.25,soc_dt0.25,score_dt0.25,t_best_dt0.125,T_dt0.125,soc_dt0.125,score_dt0.125,dT_1.0,dT_0.5,dT_0.25,dSoc_1.0,dSoc_0.5,dSoc_0.25,dt_1.0,dt_0.5,dt_0.25,dscore_1.0,dscore_0.5,dscore_0.25
19245,0.0000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.000000,,,,,,,,,,,,
57957,120.5000,21.641932,10.000454,30.000000,120.7000,21.639261,10.000321,30.000000,120.8000,21.637926,10.000255,30.000000,120.9000,21.636806,10.000460,30.000000,0.00512694,0.00245583,0.0011201,6.32637e-06,0.000138392,0.000204768,0.4,0.2,0.1,0,0,0
57806,755.5000,20.000652,16.638600,50.000000,755.4000,20.000820,16.637586,50.000000,755.4000,20.000418,16.637314,50.000000,755.4000,20.000217,16.637179,50.000000,0.000435423,0.000602767,0.000200932,0.00142105,0.000407038,0.000135701,0.1,0,0,0,0,0
47876,0.0000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.000000,,,,,,,,,,,,
47737,129.6000,20.000287,16.306787,50.000000,129.5000,20.000362,16.305617,50.000000,129.4000,20.000861,16.304801,50.000000,129.4000,20.000649,16.304624,50.000000,0.00036254,0.000286992,0.000211673,0.00216282,0.000993056,0.000177248,0.2,0.1,0,0,0,0
33928,0.0000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.000000,,,,,,,,,,,,
24779,632.2000,20.000640,13.157414,46.412922,632.1000,20.000802,13.156150,46.415005,632.1000,20.000403,13.155756,46.416406,632.1000,20.000203,13.155560,46.416276,0.00043659,0.000598949,0.000199671,0.00185396,0.000590099,0.000196749,0.1,0,0,0.00335405,0.00127115,0.000129527
64972,754.6000,20.000699,18.529448,50.000000,754.5000,20.000861,18.528520,50.000000,754.5000,20.000458,18.528290,50.000000,754.5000,20.000257,18.528174,50.000000,0.000442821,0.000604478,0.000201507,0.00127385,0.000346279,0.000115448,0.1,0,0,0,0,0
26941,214.8000,20.000163,18.941427,50.000000,214.7000,20.000205,18.940444,50.000000,214.6000,20.000691,18.939725,50.000000,214.6000,20.000469,18.939593,50.000000,0.000305835,0.000263808,0.000221881,0.00183337,0.00085089,0.000132058,0.2,0.1,0,0,0,0
63365,0.0000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.000000,,,,,,,,,,,,
53763,1189.3000,22.584354,10.000078,30.000000,1189.5000,22.581594,10.000395,30.000000,1189.5000,22.581180,10.000061,30.000000,1189.6000,22.580007,10.000386,30.000000,0.00434724,0.00158724,0.00117306,0.000307514,8.88026e-06,0.000324956,0.3,0.1,0.1,0,0,0
17864,304.0000,22.999343,10.053787,30.669856,303.9000,22.999322,10.052468,30.658288,303.8000,22.999758,10.051571,30.646707,303.8000,22.999528,10.051360,30.640910,0.000185311,0.000206007,0.000230419,0.00242644,0.00110761,0.000210146,0.2,0.1,0,0.028946,0.017378,0.00579613
43414,746.8000,20.000643,12.622915,45.794258,746.7000,20.000797,12.621608,45.790323,746.7000,20.000399,12.621193,45.787805,746.7000,20.000200,12.620985,45.785548,0.000442323,0.000596516,0.000198837,0.0019301,0.000623252,0.000207773,0.1,0,0,0.00871053,0.00477581,0.00225722
44810,0.0000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.000000,,,,,,,,,,,,
36872,0.0000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.000000,,,,,,,,,,,,
41954,1640.5000,20.669998,10.000331,30.000000,1640.6000,20.668222,10.000212,30.000000,1640.7000,20.666833,10.000399,30.000000,1640.7000,20.666639,10.000246,30.000000,0.0033592,0.00158259,0.000193934,8.45564e-05,3.40409e-05,0.000152717,0.2,0.1,0,0,0,0
43512,0.0000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.000000,,,,,,,,,,,,
51580,0.0000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.000000,,,,,,,,,,,,
54202,1221.2000,20.000815,13.190025,45.286414,1221.2000,20.000016,13.189448,45.287767,1221.1000,20.000635,13.188676,45.290981,1221.1000,20.000435,13.188532,45.290755,0.000379119,0.000419081,0.000199637,0.00149345,0.000916149,0.000144471,0.1,0.1,0,0.00434071,0.00298824,0.00022632
40310,0.0000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.000000,,,,,,,,,,,,
16655,0.0000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.000000,,,,,,,,,,,,
58531,974.6000,20.000012,13.774937,46.692195,974.5000,20.000127,13.773874,46.693839,974.4000,20.000671,13.773106,46.688029,974.4000,20.000456,13.772959,46.686261,0.000444436,0.000329259,0.000214326,0.00197804,0.000915571,0.000147313,0.2,0.1,0,0.0059337,0.00757774,0.00176785
