start_time_s,start_distance_km,end_temp_c,end_soc_pct,heat_energy_kwh,charge_time_s,score_50
112.000000,39.066666667,21.479882199,25.336594204,3.473333333,764.563866254,20.157985312
113.000000,39.058333333,21.470767749,25.341106237,3.471666667,764.541723804,20.340589595
114.000000,39.050000000,21.461651808,25.345618222,3.470000000,764.519571810,20.523240893
115.000000,39.041666667,21.452534376,25.350130164,3.468333333,764.497410191,20.705939606
116.000000,39.033333333,21.443415451,25.354642065,3.466666667,764.475238929,20.888685825
117.000000,39.025000000,21.434295034,25.359153923,3.465000000,764.453058020,21.071479558
118.000000,39.016666667,21.425173125,25.363665736,3.463333333,764.430867509,21.254320592
119.000000,39.008333333,21.416049723,25.368177506,3.461666667,764.408667368,21.437209069
120.000000,39.000000000,21.406924828,25.372689234,3.460000000,764.386457571,21.620145105
121.000000,38.991666667,21.397798440,25.377200920,3.458333333,764.364238115,21.803128726
122.000000,38.983333333,21.388670559,25.381712562,3.456666667,764.342009037,21.986159745
123.000000,38.975000000,21.379541184,25.386224160,3.455000000,764.319770314,22.169238276
124.000000,38.966666667,21.370410315,25.390735715,3.453333333,764.297521952,22.352364292
125.000000,38.958333333,21.361277952,25.395247226,3.451666667,764.275263931,22.535537885
126.000000,38.950000000,21.352144095,25.399758694,3.450000000,764.252996271,22.718758960
127.000000,38.941666667,21.343008744,25.404270118,3.448333333,764.230718950,22.902027625
128.000000,38.933333333,21.333871897,25.408781500,3.446666667,764.208431959,23.085343928
129.000000,38.925000000,21.324733556,25.413292839,3.445000000,764.186135281,23.268707947
130.000000,38.916666667,21.315593719,25.417804135,3.443333333,764.163828945,23.452119545
131.000000,38.908333333,21.306452386,25.422315388,3.441666667,764.141512938,23.635578778
132.000000,38.900000000,21.297309558,25.426826598,3.440000000,764.119187241,23.819085746
133.000000,38.891666667,21.288165234,25.431337766,3.438333333,764.096851851,24.002640465
134.000000,38.883333333,21.279019413,25.435848891,3.436666667,764.074506783,24.186242858
135.000000,38.875000000,21.269872097,25.440359969,3.435000000,764.052152076,24.369892732
136.000000,38.866666667,21.260723283,25.444871006,3.433333333,764.029787657,24.553590445
137.000000,38.858333333,21.251572972,25.449382000,3.431666667,764.007413537,24.737335949
138.000000,38.850000000,21.242421165,25.453892951,3.430000000,763.985029721,24.921129214
139.000000,38.841666667,21.233267860,25.458403858,3.428333333,763.962636219,25.104970194
140.000000,38.833333333,21.224113056,25.462914723,3.426666667,763.940232991,25.288859085
141.000000,38.825000000,21.214956755,25.467425546,3.425000000,763.917820041,25.472795867
142.000000,38.816666667,21.205798957,25.471936326,3.423333333,763.895397384,25.656780468
143.000000,38.808333333,21.196639659,25.476447062,3.421666667,763.872965031,25.840812829
144.000000,38.800000000,21.187478863,25.480957756,3.420000000,763.850522940,26.024893164
145.000000,38.791666667,21.178316568,25.485468407,3.418333333,763.828071123,26.209021403
146.000000,38.783333333,21.169152774,25.489979014,3.416666667,763.805609606,26.393197430
147.000000,38.775000000,21.159987480,25.494489576,3.415000000,763.783138388,26.577421247
148.000000,38.766666667,21.150820687,25.499000096,3.413333333,763.760657417,26.761693104
149.000000,38.758333333,21.141652394,25.503510575,3.411666667,763.738166688,26.946013025
150.000000,38.750000000,21.132482601,25.508021014,3.410000000,763.715666160,27.130381222
151.000000,38.741666667,21.123311307,25.512531410,3.408333333,763.693155916,27.314797279
152.000000,38.733333333,21.114138512,25.517041761,3.406666667,763.670635940,27.499261279
153.000000,38.725000000,21.104964214,25.521552074,3.405000000,763.648106151,27.683773616
154.000000,38.716666667,21.095788416,25.526062342,3.403333333,763.625566650,27.868333792
155.000000,38.708333333,21.086611116,25.530572567,3.401666667,763.603017399,28.052941999
156.000000,38.700000000,21.077432315,25.535082748,3.400000000,763.580458403,28.237598214
157.000000,38.691666667,21.068252011,25.539592888,3.398333333,763.557889612,28.422302675
158.000000,38.683333333,21.059070203,25.544102987,3.396666667,763.535311036,28.607055343
159.000000,38.675000000,21.049886894,25.548613040,3.395000000,763.512722741,28.791855882
160.000000,38.666666667,21.040702082,25.553123052,3.393333333,763.490124643,28.976704715
161.000000,38.658333333,21.031515766,25.557633019,3.391666667,763.467516794,29.161601579
162.000000,38.650000000,21.022327946,25.562142949,3.390000000,763.444899101,29.346546935
163.000000,38.641666667,21.013138623,25.566652830,3.388333333,763.422271699,29.531540115
164.000000,38.633333333,21.003947796,25.571162671,3.386666667,763.399634480,29.716581661
165.000000,38.625000000,20.994755465,25.575672470,3.385000000,763.376987474,29.901671417
166.000000,38.616666667,20.985561630,25.580182226,3.383333333,763.354330655,30.086809507
167.000000,38.608333333,20.976366289,25.584691940,3.381666667,763.331664048,30.271995818
168.000000,38.600000000,20.967169444,25.589201609,3.380000000,763.308987666,30.457230280
169.000000,38.591666667,20.957971094,25.593711239,3.378333333,763.286301432,30.642513273
170.000000,38.583333333,20.948771238,25.598220823,3.376666667,763.263605431,30.827844378
171.000000,38.575000000,20.939569876,25.602730367,3.375000000,763.240899591,31.013223954
172.000000,38.566666667,20.930367009,25.607239866,3.373333333,763.218183973,31.198651694
173.000000,38.558333333,20.921162635,25.611749325,3.371666667,763.195458504,31.384127961
174.000000,38.550000000,20.911956755,25.616258741,3.370000000,763.172723208,31.569652638
175.000000,38.541666667,20.902749369,25.620768113,3.368333333,763.149978112,31.755225586
176.000000,38.533333333,20.893540475,25.625277444,3.366666667,763.127223169,31.940847043
177.000000,38.525000000,20.884330074,25.629786731,3.365000000,763.104458417,32.126516819
178.000000,38.516666667,20.875118166,25.634295978,3.363333333,763.081683776,32.312235312
179.000000,38.508333333,20.865904751,25.638805179,3.361666667,763.058899356,32.498001973
180.000000,38.500000000,20.856689827,25.643314340,3.360000000,763.036105075,32.683817216
181.000000,38.491666667,20.847473396,25.647823457,3.358333333,763.013300949,32.869680949
182.000000,38.483333333,20.838255456,25.652332534,3.356666667,762.990486951,33.055593313
183.000000,38.475000000,20.829036007,25.656841568,3.355000000,762.967663102,33.241554205
184.000000,38.466666667,20.819815051,25.661350556,3.353333333,762.944829446,33.427563408
185.000000,38.458333333,20.810592584,25.665859506,3.351666667,762.921985872,33.613621469
186.000000,38.450000000,20.801368608,25.670368411,3.350000000,762.899132470,33.799727939
187.000000,38.441666667,20.792143123,25.674877276,3.348333333,762.876269154,33.985883247
188.000000,38.433333333,20.782916128,25.679386095,3.346666667,762.853396042,34.172086810
189.000000,38.425000000,20.773687623,25.683894874,3.345000000,762.830513017,34.358339208
190.000000,38.416666667,20.764457608,25.688403611,3.343333333,762.807620103,34.544640315
191.000000,38.408333333,20.755226082,25.692912305,3.341666667,762.784717307,34.730990106
192.000000,38.400000000,20.745993045,25.697420957,3.340000000,762.761804641,34.917388517
193.000000,38.391666667,20.736758498,25.701929564,3.338333333,762.738882116,35.103835491
194.000000,38.383333333,20.727522439,25.706438133,3.336666667,762.715949637,35.290331502
195.000000,38.375000000,20.718284869,25.710946658,3.335000000,762.693007298,35.476876080
196.000000,38.366666667,20.709045786,25.715455140,3.333333333,762.670055063,35.663469410
197.000000,38.358333333,20.699805193,25.719963579,3.331666667,762.647092940,35.850111444
198.000000,38.350000000,20.690563086,25.724471977,3.330000000,762.624120891,36.036802380
199.000000,38.341666667,20.681319467,25.728980334,3.328333333,762.601138908,36.223542245
200.000000,38.333333333,20.672074336,25.733488645,3.326666667,762.578147071,36.410330654
201.000000,38.325000000,20.662827691,25.737996918,3.325000000,762.555145269,36.597168157
202.000000,38.316666667,20.653579534,25.742505145,3.323333333,762.532133593,36.784054294
203.000000,38.308333333,20.644329863,25.747013334,3.321666667,762.509111933,36.970989611
204.000000,38.300000000,20.635078678,25.751521476,3.320000000,762.486080416,37.157973487
205.000000,38.291666667,20.625825979,25.756029578,3.318333333,762.463038938,37.345006433
206.000000,38.283333333,20.616571766,25.760537638,3.316666667,762.439987520,37.532088339
207.000000,38.275000000,20.607316039,25.765045656,3.315000000,762.416926166,37.719219197
208.000000,38.266666667,20.598058797,25.769553632,3.313333333,762.393854875,37.906399000
209.000000,38.258333333,20.588800041,25.774061563,3.311666667,762.370773675,38.093627617
210.000000,38.250000000,20.579539768,25.778569457,3.310000000,762.347682464,38.280905548
211.000000,38.241666667,20.570277981,25.783077305,3.308333333,762.324581345,38.468232286
212.000000,38.233333333,20.561014678,25.787585112,3.306666667,762.301470259,38.655608121
213.000000,38.225000000,20.551749859,25.792092875,3.305000000,762.278349247,38.843032855
214.000000,38.216666667,20.542483524,25.796600598,3.303333333,762.255218244,39.030506803
215.000000,38.208333333,20.533215672,25.801108280,3.301666667,762.232077257,39.218029932
216.000000,38.200000000,20.523946304,25.805615918,3.300000000,762.208926337,39.405601993
217.000000,38.191666667,20.514675419,25.810123514,3.298333333,762.185765432,39.593223243
218.000000,38.183333333,20.505403018,25.814631067,3.296666667,762.162594583,39.780893476
219.000000,38.175000000,20.496129098,25.819138581,3.295000000,762.139413692,39.968613177
220.000000,38.166666667,20.486853660,25.823646051,3.293333333,762.116222867,40.156381810
221.000000,38.158333333,20.477576706,25.828153478,3.291666667,762.093022055,40.344199642
222.000000,38.150000000,20.468298240,25.832660861,3.290000000,762.069811269,40.532066607
223.000000,38.141666667,20.459018301,25.837168181,3.288333333,762.046590569,40.719982409
224.000000,38.133333333,20.449736897,25.841675436,3.286666667,762.023359968,40.907946980
225.000000,38.125000000,20.440454027,25.846182621,3.285000000,762.000119530,41.095960010
226.000000,38.116666667,20.431169691,25.850689743,3.283333333,761.976869148,41.284022029
227.000000,38.108333333,20.421883889,25.855196796,3.281666667,761.953608916,41.472132563
228.000000,38.100000000,20.412596620,25.859703786,3.280000000,761.930338733,41.660292124
229.000000,38.091666667,20.403307885,25.864210706,3.278333333,761.907058709,41.848500157
230.000000,38.083333333,20.394017682,25.868717562,3.276666667,761.883768744,42.036757159
231.000000,38.075000000,20.384726012,25.873224352,3.275000000,761.860468866,42.225062994
232.000000,38.066666667,20.375432875,25.877731076,3.273333333,761.837159080,42.413417640
233.000000,38.058333333,20.366138270,25.882237733,3.271666667,761.813839384,42.601821099
234.000000,38.050000000,20.356842198,25.886744321,3.270000000,761.790509798,42.790273278
235.000000,38.041666667,20.347544657,25.891250848,3.268333333,761.767170225,42.978774654
236.000000,38.033333333,20.338245648,25.895757306,3.266666667,761.743820770,43.167324710
237.000000,38.025000000,20.328945171,25.900263697,3.265000000,761.720461394,43.355923635
238.000000,38.016666667,20.319643224,25.904770022,3.263333333,761.697092088,43.544571480
239.000000,38.008333333,20.310339809,25.909276282,3.261666667,761.673712828,43.733268354
240.000000,38.000000000,20.301034924,25.913782478,3.260000000,761.650323599,43.922014339
241.000000,37.983333333,20.291684091,25.918308921,3.258333333,761.626832513,44.111262073
242.000000,37.966666667,20.282331307,25.922835390,3.256666667,761.603332396,44.300554296
243.000000,37.950000000,20.272976571,25.927361879,3.255000000,761.579823328,44.489890617
244.000000,37.933333333,20.263619884,25.931888396,3.253333333,761.556305204,44.679271540
245.000000,37.916666667,20.254261244,25.936414931,3.251666667,761.532778152,44.868696448
246.000000,37.900000000,20.244900654,25.940941490,3.250000000,761.509242084,45.058165771
247.000000,37.883333333,20.235538109,25.945468073,3.248333333,761.485697006,45.247679471
248.000000,37.866666667,20.226173611,25.949994680,3.246666667,761.462142902,45.437237641
249.000000,37.850000000,20.216807160,25.954521310,3.245000000,761.438579786,45.626840202
250.000000,37.833333333,20.207438754,25.959047960,3.243333333,761.415007698,45.816486956
251.000000,37.816666667,20.198068395,25.963574637,3.241666667,761.391426537,46.006178406
252.000000,37.800000000,20.188696079,25.968101334,3.240000000,761.367836384,46.195914155
253.000000,37.783333333,20.179321809,25.972628058,3.238333333,761.344237156,46.385694605
254.000000,37.766666667,20.169945583,25.977154800,3.236666667,761.320628960,46.575519229
255.000000,37.750000000,20.160567401,25.981681568,3.235000000,761.297011688,46.765388567
256.000000,37.733333333,20.151187263,25.986208359,3.233333333,761.273385373,46.955302449
257.000000,37.716666667,20.141805166,25.990735175,3.231666667,761.249749999,47.145260957
258.000000,37.700000000,20.132421113,25.995262012,3.230000000,761.226105592,47.335263956
259.000000,37.683333333,20.123035103,25.999788871,3.228333333,761.202452148,47.525311478
260.000000,37.666666667,20.113647133,26.004315758,3.226666667,761.178789591,47.715403893
261.000000,37.650000000,20.104257206,26.008842665,3.225000000,761.155118004,47.905540787
262.000000,37.633333333,20.094865318,26.013369596,3.223333333,761.131437337,48.095722409
263.000000,37.616666667,20.085471473,26.017896548,3.221666667,761.107747630,48.285948562
264.000000,37.600000000,20.076075666,26.022423527,3.220000000,761.084048806,48.476219627
265.000000,37.583333333,20.066677900,26.026950528,3.218333333,761.060340900,48.666535430
266.000000,37.566666667,20.057278173,26.031477552,3.216666667,761.036623934,48.856895862
267.000000,37.550000000,20.047876484,26.036004600,3.215000000,761.012897859,49.047301169
268.000000,37.533333333,20.038472835,26.040531671,3.213333333,760.989162707,49.237751187
269.000000,37.516666667,20.029067223,26.045058768,3.211666667,760.965418404,49.428246283
270.000000,37.500000000,20.019659649,26.049585884,3.210000000,760.941665067,49.618785883
271.000000,37.483333333,20.010250112,26.054113027,3.208333333,760.917902576,49.809370574
272.000000,37.466666667,20.000838611,26.058640191,3.206666667,760.894131004,50.000000000
