time_s,temp_c,soc_pct,current_a,heating_kw,remaining_km
283.250000,-0.160500816,61.575023052,75.180729312,6.000000,37.279166667
283.500000,-0.157224312,61.569802168,75.181038149,6.000000,37.275000000
283.750000,-0.153947992,61.564581263,75.181347000,6.000000,37.270833333
284.000000,-0.150671854,61.559360336,75.181655865,6.000000,37.266666667
284.250000,-0.147395900,61.554139387,75.181964745,6.000000,37.262500000
284.500000,-0.144120129,61.548918418,75.182273639,6.000000,37.258333333
284.750000,-0.140844541,61.543697426,75.182582548,6.000000,37.254166667
285.000000,-0.137569136,61.538476414,75.182891470,6.000000,37.250000000
285.250000,-0.134293914,61.533255380,75.183200407,6.000000,37.245833333
285.500000,-0.131018876,61.528034324,75.183509359,6.000000,37.241666667
285.750000,-0.127744020,61.522813247,75.183818324,6.000000,37.237500000
286.000000,-0.124469348,61.517592149,75.184127304,6.000000,37.233333333
286.250000,-0.121194858,61.512371029,75.184436299,6.000000,37.229166667
286.500000,-0.117920552,61.507149887,75.184745308,6.000000,37.225000000
286.750000,-0.114646429,61.501928724,75.185054331,6.000000,37.220833333
287.000000,-0.111372488,61.496707540,75.185363368,6.000000,37.216666667
287.250000,-0.108098731,61.491486334,75.185672420,6.000000,37.212500000
287.500000,-0.104825157,61.486265107,75.185981486,6.000000,37.208333333
287.750000,-0.101551766,61.481043858,75.186290566,6.000000,37.204166667
288.000000,-0.098278557,61.475822588,75.186599661,6.000000,37.200000000
288.250000,-0.095005532,61.470601296,75.186908770,6.000000,37.195833333
288.500000,-0.091732690,61.465379983,75.187217893,6.000000,37.191666667
288.750000,-0.088460031,61.460158649,75.187527031,6.000000,37.187500000
289.000000,-0.085187554,61.454937293,75.187836183,6.000000,37.183333333
289.250000,-0.081915261,61.449715915,75.188145349,6.000000,37.179166667
289.500000,-0.078643151,61.444494516,75.188454530,6.000000,37.175000000
289.750000,-0.075371223,61.439273096,75.188763725,6.000000,37.170833333
290.000000,-0.072099479,61.434051654,75.189072934,6.000000,37.166666667
290.250000,-0.068827917,61.428830190,75.189382158,6.000000,37.162500000
290.500000,-0.065556538,61.423608706,75.189691396,6.000000,37.158333333
290.750000,-0.062285343,61.418387199,75.190000648,6.000000,37.154166667
291.000000,-0.059014330,61.413165671,75.190309915,6.000000,37.150000000
291.250000,-0.055743500,61.407944122,75.190619196,6.000000,37.145833333
291.500000,-0.052472852,61.402722551,75.190928491,6.000000,37.141666667
291.750000,-0.049202388,61.397500959,75.191237801,6.000000,37.137500000
292.000000,-0.045932107,61.392279345,75.191547125,6.000000,37.133333333
292.250000,-0.042662008,61.387057710,75.191856463,6.000000,37.129166667
292.500000,-0.039392092,61.381836053,75.192165816,6.000000,37.125000000
292.750000,-0.036122359,61.376614375,75.192475183,6.000000,37.120833333
293.000000,-0.032852809,61.371392676,75.192784564,6.000000,37.116666667
293.250000,-0.029583442,61.366170954,75.193093960,6.000000,37.112500000
293.500000,-0.026314257,61.360949212,75.193403370,6.000000,37.108333333
293.750000,-0.023045255,61.355727448,75.193712794,6.000000,37.104166667
294.000000,-0.019776436,61.350505662,75.194022233,6.000000,37.100000000
294.250000,-0.016507800,61.345283855,75.194331686,6.000000,37.095833333
294.500000,-0.013239346,61.340062026,75.194641153,6.000000,37.091666667
294.750000,-0.009971076,61.334840176,75.194950635,6.000000,37.087500000
295.000000,-0.006702988,61.329618305,75.195260130,6.000000,37.083333333
295.250000,-0.003435082,61.324396412,75.195569641,6.000000,37.079166667
295.500000,-0.000167360,61.319174497,75.195879165,6.000000,37.075000000
295.750000,0.003100180,61.313952561,75.196226703,6.000000,37.070833333
